OBJECTID,BIOMASS_GRID_ID,MNCPL_SOLID_WASTE_TOTAL_VOL,MNCPL_SOLID_WASTE_ORGANIC_VOL,MNCPL_SOLID_WASTE_PAPER_VOL
1,97373,2176.728317,870.6913268,565.9493624
2,96514,707.4154097,282.9661639,183.9280065
3,96515,47.1615002,18.86460008,12.26199005
4,29748,725.9033133,290.3613253,188.7348615
5,29291,537.8611031,215.1444413,139.8438868
6,14378,743.4721572,297.3888629,193.3027609
7,13979,416.8768385,166.7507354,108.387978
8,13592,1947.124667,778.8498666,506.2524133
9,12834,373.3611869,149.3444748,97.0739086
10,12448,1878.648968,751.4595871,488.4487316
11,12054,2275.999546,910.3998184,591.7598819
12,12055,2365.296511,946.1186043,614.9770928
13,12064,42.1027524,16.84110096,10.94671562
14,10908,1769.262018,707.7048074,460.0081248
15,18614,179.0490966,71.61963864,46.55276511
16,18615,523.8593152,209.5437261,136.203422
17,16687,506.7885782,202.7154313,131.7650303
18,15909,591.9792476,236.791699,153.9146044
19,14017,1205.198964,482.0795855,313.3517306
20,20245,4522.67843,1809.071372,1175.896392
21,20246,9706.422417,3882.568967,2523.669829
22,19836,952.8516671,381.1406669,247.7414335
23,19837,5520.562385,2208.224954,1435.34622
24,17482,755.8348238,302.3339295,196.5170542
25,16709,716.2063143,286.4825257,186.2136417
26,14805,4212.668531,1685.067413,1095.293818
27,32449,513.8823624,205.552945,133.6094142
28,29785,42.256363,16.9025452,10.98665438
29,29327,185.1192603,74.04770414,48.13100769
30,29328,3392.5401,1357.01604,882.0604261
31,25048,9.795980054,3.918392022,2.546954814
32,25049,1373.871008,549.5484032,357.2064621
33,24583,323.6201663,129.4480665,84.14124324
34,24584,2447.094286,978.8377143,636.2445143
35,20663,853.5526186,341.4210475,221.9236808
36,20664,1404.06524,561.6260958,365.0569623
37,2845,1266.947121,506.7788486,329.4062516
38,12491,5586.919077,2234.767631,1452.59896
39,12107,1937.611538,775.0446154,503.779
40,15204,0.021873208,0.008749283,0.005687034
41,15206,215.6547889,86.26191554,56.0702451
42,14817,919.9758287,367.9903315,239.1937155
43,14822,907.6663073,363.0665229,235.9932399
44,14824,1203.605987,481.4423949,312.9375567
45,12128,173.4212627,69.36850506,45.08952829
46,11741,211.5905768,84.63623071,55.01354996
47,7668,591.4762608,236.5905043,153.7838278
48,5937,890.6807733,356.2723093,231.5770011
49,29813,1278.128843,511.2515372,332.3134992
50,27478,2877.906216,1151.162486,748.2556161
51,27479,283.4599765,113.3839906,73.6995939
52,27486,2866.5554,1146.62216,745.304404
53,25574,2330.224385,932.0897539,605.8583401
54,23695,1091.772548,436.7090193,283.8608626
55,23266,649.1006623,259.6402649,168.7661722
56,19874,499.4591967,199.7836787,129.8593911
57,19063,2.492970754,0.997188302,0.648172396
58,18665,722.4158078,288.9663231,187.82811
59,18254,532.2638771,212.9055509,138.3886081
60,18256,13646.18444,5458.473776,3548.007954
61,18257,8604.503828,3441.801531,2237.170995
62,17866,20.50412583,8.201650331,5.331072715
63,17867,8.952995619,3.581198248,2.327778861
64,17870,693.5985566,277.4394227,180.3356247
65,17486,756.6822922,302.6729169,196.737396
66,17117,355.963397,142.3853588,92.55048323
67,28452,576.7525238,230.7010095,149.9556562
68,27976,354.7541803,141.9016721,92.23608688
69,27020,380.7668878,152.3067551,98.99939084
70,27029,1170.78001,468.3120041,304.4028027
71,26544,1382.487669,552.9950676,359.446794
72,26545,63.63499793,25.45399917,16.54509946
73,26548,331.7478817,132.6991527,86.25444925
74,25575,926.1284948,370.4513979,240.7934086
75,24186,417.4225059,166.9690024,108.5298515
76,22834,446.0597687,178.4239075,115.9755399
77,20717,2007.585423,803.0341691,521.9722099
78,38642,939.1005485,375.6402194,244.1661426
79,38229,1321.97301,528.789204,343.7129826
80,38230,337.4761137,134.9904455,87.74378957
81,38236,331.0245574,132.409823,86.06638493
82,37828,3007.267266,1202.906906,781.8894892
83,37423,220.7810099,88.31240398,57.40306259
84,37424,408.8573621,163.5429448,106.3029141
85,37428,39.05917536,15.62367014,10.15538559
86,37032,455.7388965,182.2955586,118.4921131
87,37033,1599.792338,639.9169351,415.9460078
88,36641,35.91411053,14.36564421,9.337668738
89,36642,798.7053635,319.4821454,207.6633945
90,36643,62.84006686,25.13602675,16.33841738
91,36253,530.1612646,212.0645058,137.8419288
92,36254,2216.551388,886.6205551,576.3033608
93,36255,1946.889516,778.7558065,506.1912742
94,36261,491.6955381,196.6782152,127.8408399
95,36262,1492.092667,596.8370669,387.9440935
96,35863,24658.73399,9863.493596,6411.270837
97,35864,6657.909523,2663.163809,1731.056476
98,35465,3668.42706,1467.370824,953.7910355
99,35466,1568.588215,627.435286,407.8329359
100,35467,181.4706027,72.5882411,47.18235671
101,35468,2432.87299,973.1491959,632.5469774
102,35057,359.6442021,143.8576808,93.50749254
103,35059,340.7489968,136.2995987,88.59473917
104,35061,3879.33039,1551.732156,1008.625902
105,34644,2159.417122,863.7668488,561.4484517
106,34239,2410.138844,964.0555376,626.6360994
107,33814,613.9252087,245.5700835,159.6205543
108,33815,97.55141713,39.02056685,25.36336846
109,33389,1740.061908,696.0247631,452.416096
110,33390,2238.869017,895.5476067,582.1059444
111,32948,4178.281451,1671.31258,1086.353177
112,32951,1037.763521,415.1054083,269.8185154
113,32952,1618.705147,647.4820587,420.8633381
114,32504,95.32360334,38.12944134,24.78413687
115,32505,575.8796921,230.3518768,149.7287199
116,31630,1499.135622,599.654249,389.7752618
117,31631,1781.338004,712.5352015,463.1478809
118,31636,79.22631481,31.69052592,20.59884185
119,31637,556.5172955,222.6069182,144.6944968
120,31190,701.7132018,280.6852807,182.4454325
121,31191,3187.276584,1274.910634,828.6919119
122,31192,4597.387271,1838.954908,1195.32069
123,31193,5313.946249,2125.578499,1381.626025
124,30739,2336.261797,934.504719,607.4280673
125,30747,117.0349674,46.81398696,30.42909153
126,30748,1323.530747,529.4122989,344.1179943
127,30749,42505.46886,17002.18755,11051.4219
128,30750,37500.50654,15000.20262,9750.1317
129,30751,1517.273806,606.9095224,394.4911896
130,30298,12378.29744,4951.318977,3218.357335
131,30299,60179.69411,24071.87764,15646.72047
132,30300,61313.6058,24525.44232,15941.53751
133,30301,33326.88903,13330.75561,8664.991148
134,29841,3980.54529,1592.218116,1034.941775
135,29842,13735.74061,5494.296246,3571.29256
136,29843,4553.796115,1821.518446,1183.98699
137,29844,34066.87761,13626.75104,8857.388179
138,29845,52391.54887,20956.61955,13621.80271
139,29846,4270.309525,1708.12381,1110.280477
140,29847,4691.303949,1876.52158,1219.739027
141,29850,0.429137293,0.171654917,0.111575696
142,29385,8.641616129,3.456646452,2.246820194
143,29387,12436.65491,4974.661966,3233.530278
144,29388,916.7957631,366.7183052,238.3668984
145,29389,1.212256631,0.484902652,0.315186724
146,29390,2811.871321,1124.748529,731.0865436
147,29393,400.4437093,160.1774837,104.1153644
148,28917,256.3022967,102.5209187,66.63859714
149,28918,123.010625,49.20425,31.9827625
150,28922,3027.211524,1210.88461,787.0749963
151,28923,242.4471867,96.97887468,63.03626854
152,28924,1414.628928,565.8515711,367.8035212
153,95985,0.337503876,0.13500155,0.087751008
154,95986,3440.644725,1376.25789,894.5676286
155,95987,19462.57245,7785.028979,5060.268836
156,95988,1400.81834,560.327336,364.2127684
157,43949,2943.086319,1177.234527,765.2024428
158,43950,177.9532724,71.18130895,46.26785082
159,43951,25694.98535,10277.99414,6680.696191
160,43952,33387.22849,13354.89139,8680.679406
161,96001,1085.543282,434.217313,282.2412534
162,43538,15456.19298,6182.47719,4018.610174
163,96011,46.20791056,18.48316422,12.01405674
164,43124,2150.576701,860.2306805,559.1499423
165,96024,18538.46241,7415.384963,4820.000226
166,96025,3136.88885,1254.75554,815.591101
167,42705,936.7739942,374.7095977,243.5612385
168,96042,521.0340107,208.4136043,135.4688428
169,42285,6392.650166,2557.060066,1662.089043
170,42286,980.6602144,392.2640858,254.9716557
171,96055,508.0330476,203.213219,132.0885924
172,41863,914.9775721,365.9910288,237.8941688
173,41865,500.5051829,200.2020732,130.1313476
174,96073,498.334196,199.3336784,129.566891
175,96076,7801.087369,3120.434948,2028.282716
176,41448,2909.692055,1163.876822,756.5199343
177,96087,25242.75945,10097.10378,6563.117457
178,41449,59029.82531,23611.93012,15347.75458
179,41033,319.072378,127.6289512,82.95881828
180,96102,24851.22467,9940.489869,6461.318415
181,41034,78942.15682,31576.86273,20524.96077
182,40617,5937.376422,2374.950569,1543.71787
183,96115,8078.653221,3231.461289,2100.449838
184,40204,1500.466872,600.1867487,390.1213867
185,96130,18941.21297,7576.485189,4924.715373
186,96146,250.7754471,100.3101788,65.20161624
187,39794,3813.794325,1525.51773,991.5865244
188,96150,1334.233582,533.6934328,346.9007313
189,96162,338.6387558,135.4555023,88.0460765
190,39380,472.434735,188.973894,122.8330311
191,39381,166.9603707,66.78414828,43.40969638
192,38969,2712.565334,1085.026134,705.2669868
193,38970,3217.052235,1286.820894,836.4335812
194,40618,37163.81588,14865.52635,9662.592128
195,96133,6174.181551,2469.67262,1605.287203
196,40205,360.1080786,144.0432314,93.62810044
197,96151,527.2965666,210.9186266,137.0971073
198,39795,2449.798525,979.91941,636.9476165
199,39796,401.5331226,160.613249,104.3986119
200,39384,2775.257843,1110.103137,721.5670391
201,96164,1119.49541,447.7981641,291.0688067
202,39385,1255.363246,502.1452986,326.3944441
203,38972,1392.6607,557.0642801,362.0917821
204,96176,1601.218601,640.4874406,416.3168364
205,38973,452.8850943,181.1540377,117.7501245
206,38974,2.14575368,0.858301472,0.557895957
207,38978,1132.870017,453.1480067,294.5462044
208,38979,3442.013322,1376.805329,894.9234637
209,38570,1142.419882,456.9679526,297.0291692
210,37351,119.3826584,47.75306336,31.03949118
211,37352,2675.225006,1070.090003,695.5585016
212,96244,1316.459217,526.5836869,342.2793965
213,36953,7333.181592,2933.272637,1906.627214
214,96257,4447.522846,1779.009139,1156.35594
215,36955,2755.025292,1102.010117,716.306576
216,36564,843.3956335,337.3582534,219.2828647
217,35782,4287.667958,1715.067183,1114.793669
218,96307,7297.688158,2919.075263,1897.398921
219,34978,2.699443361,1.079777344,0.701855274
220,44376,37.46271432,14.98508573,9.740305723
221,43965,359.8164379,143.9265751,93.55227384
222,43966,2.250200582,0.900080233,0.585052151
223,43554,63.8605402,25.54421608,16.60374045
224,43555,9354.739052,3741.895621,2432.232154
225,43145,112.2296407,44.89185629,29.17970659
226,43146,1578.649171,631.4596686,410.4487846
227,42722,686.4369464,274.5747785,178.4736061
228,42723,162.9132662,65.16530648,42.35744921
229,42728,185.1255708,74.05022832,48.13264841
230,42729,929.1526892,371.6610757,241.5796992
231,42299,38.60264363,15.44105745,10.03668734
232,42300,1011.460119,404.5840477,262.979631
233,42312,36.16159596,14.46463838,9.402014949
234,42313,218.3282474,87.33129896,56.76534432
235,42314,3244.37525,1297.7501,843.5375649
236,42315,3739.707199,1495.882879,972.3238716
237,41878,4.228714608,1.691485843,1.099465798
238,41891,1283.461999,513.3847997,333.7001198
239,41892,15419.86951,6167.947804,4009.166073
240,41893,19693.58695,7877.434782,5120.332608
241,41476,2079.013723,831.6054891,540.5435679
242,41477,1487.341588,594.9366353,386.7088129
243,41036,43183.39883,17273.35953,11227.6837
244,41037,5234.85174,2093.940696,1361.061452
245,41062,1659.636316,663.8545263,431.5054421
246,40619,23788.01187,9515.204748,6184.883086
247,40234,4167.042244,1666.816897,1083.430983
248,39815,763.0876858,305.2350743,198.4027983
249,39407,889.037916,355.6151664,231.1498582
250,38181,18.14344784,7.257379136,4.717296438
251,37779,296.7783027,118.7113211,77.1623587
252,37782,214.6004533,85.8401813,55.79611785
253,37783,12378.63944,4951.455778,3218.446256
254,37784,2830.999635,1132.399854,736.059905
255,37788,83.81362869,33.52545148,21.79154346
256,37790,239.0300192,95.61200769,62.147805
257,37362,2810.560227,1124.224091,730.7456589
258,37363,205.1878401,82.07513606,53.34883844
259,37381,1316.535528,526.6142111,342.2992372
260,37382,11165.82592,4466.330367,2903.114739
261,37383,10.30717119,4.122868477,2.67986451
262,37387,451.7224477,180.6889791,117.4478364
263,37389,228.275035,91.31001401,59.3515091
264,36968,0.839668856,0.335867543,0.218313903
265,36986,328.7829005,131.5131602,85.48355414
266,36987,456.3213118,182.5285247,118.6435411
267,36577,664.6800226,265.872009,172.8168059
268,36589,279.3841601,111.753664,72.63988162
269,36195,342.1108944,136.8443578,88.94883255
270,36196,32.68636205,13.07454482,8.498454133
271,35805,101.7459939,40.69839756,26.45395842
272,45595,1071.776941,428.7107766,278.6620048
273,44785,1244.660193,497.8640772,323.6116501
274,44373,360.6666372,144.2666549,93.77332566
275,44375,147.2627362,58.90509449,38.28831142
276,96028,688.2689166,275.3075666,178.9499183
277,43128,815.2155907,326.0862363,211.9560536
278,96045,572.9315692,229.1726277,148.962208
279,42708,12908.69115,5163.47646,3356.259699
280,42709,22160.14465,8864.057862,5761.63761
281,42711,15428.83722,6171.534887,4011.497677
282,42712,3720.073343,1488.029337,967.2190693
283,42713,480.372228,192.1488912,124.8967793
284,42289,21827.2013,8730.88052,5675.072338
285,42290,21369.15808,8547.663233,5555.981102
286,42291,18759.18104,7503.672418,4877.387072
287,42292,1313.550614,525.4202457,341.5231597
288,42293,9474.935762,3789.974305,2463.483298
289,42295,1818.988446,727.5953783,472.9369959
290,42296,1990.940175,796.3760702,517.6444456
291,42297,1369.375707,547.7502828,356.0376838
292,41866,3367.72127,1347.088508,875.6075302
293,41867,38910.09851,15564.0394,10116.62561
294,41868,68357.55604,27343.02242,17772.96457
295,41869,38739.92629,15495.97052,10072.38083
296,41870,12481.63443,4992.65377,3245.224951
297,41450,75459.10049,30183.64019,19619.36613
298,41451,56253.30398,22501.32159,14625.85904
299,41452,28187.86382,11275.14553,7328.844594
300,41453,5017.53516,2007.014064,1304.559142
301,41035,63927.43962,25570.97585,16621.1343
302,48011,772.4768572,308.9907429,200.8439829
303,47620,504.6330362,201.8532145,131.2045894
304,47215,1002.390973,400.9563893,260.6216531
305,46818,1755.299417,702.1197667,456.3778484
306,46819,1833.156204,733.2624818,476.6206132
307,46820,827.58972,331.035888,215.1733272
308,46822,343.3098454,137.3239382,89.26055981
309,46408,981.0664892,392.4265957,255.0772872
310,46414,200.1746057,80.06984228,52.04539748
311,46011,1775.85126,710.3405039,461.7213275
312,46833,3793.369481,1517.347792,986.276065
313,46428,2295.039051,918.0156205,596.7101533
314,46012,977.5269274,391.010771,254.1570011
315,46024,18.1227973,7.249118921,4.711927299
316,45608,63.28792391,25.31516956,16.45486022
317,45611,378.5482803,151.4193121,98.42255289
318,45612,3454.046085,1381.618434,898.0519821
319,45621,1607.822564,643.1290255,418.0338666
320,45209,84.39511372,33.75804549,21.94272957
321,41894,5094.434441,2037.773776,1324.552955
322,41905,102.5586116,41.02344464,26.66523901
323,41906,227.4714684,90.98858736,59.14258178
324,41918,971.8570603,388.7428241,252.6828357
325,40646,1072.086914,428.8347656,278.7425976
326,40647,3426.553073,1370.621229,890.9037991
327,40649,418.7800503,167.5120201,108.8828131
328,40235,6487.379273,2594.951709,1686.718611
329,39827,949.0814842,379.6325937,246.7611859
330,39419,784.7126867,313.8850747,204.0252986
331,39420,88.18864203,35.27545681,22.92904693
332,39008,245.9747761,98.38991044,63.95344179
333,39009,322.166054,128.8664216,83.76317405
334,38599,3381.924038,1352.769615,879.3002499
335,38192,402.8360834,161.1344334,104.7373817
336,38193,317.51267,127.005068,82.55329419
337,38194,169.9337293,67.9734917,44.18276961
338,38195,269.3607506,107.7443002,70.03379515
339,38200,2105.959479,842.3837917,547.5494646
340,38201,387.9429177,155.1771671,100.8651586
341,37798,7.674316937,3.069726775,1.995322404
342,37807,416.9812757,166.7925103,108.4151317
343,37808,728.9090029,291.5636011,189.5163407
344,49216,577.0913402,230.8365361,150.0437484
345,49218,441.425446,176.5701784,114.770616
346,48826,486.0110905,194.4044362,126.3628835
347,48430,509.0278661,203.6111465,132.3472452
348,48030,1146.268826,458.5075304,298.0298948
349,48038,23144.83592,9257.934367,6017.657339
350,48039,2323.876742,929.5506966,604.2079528
351,48040,2562.721251,1025.0885,666.3075252
352,48043,2505.857572,1002.343029,651.5229687
353,47643,209.6683995,83.86735982,54.51378388
354,47647,4014.566026,1605.82641,1043.787167
355,47648,1083.036943,433.2147773,281.5896052
356,47652,225.370394,90.14815762,58.59630245
357,47234,1779.955781,711.9823125,462.7885031
358,47238,195.2047456,78.08189823,50.75323385
359,47239,625.5374103,250.2149641,162.6397267
360,47246,672.9334828,269.1733931,174.9627055
361,47251,550.7483436,220.2993374,143.1945693
362,46842,197.719878,79.08795119,51.40716827
363,46843,3.533138696,1.413255479,0.918616061
364,46853,365.5767208,146.2306883,95.0499474
365,46860,351.7839819,140.7135928,91.4638353
366,46429,444.703604,177.8814416,115.622937
367,46435,964.7035839,385.8814335,250.8229318
368,46032,332.506068,133.0024272,86.45157767
369,46042,936.4697986,374.5879195,243.4821476
370,45226,285.1972156,114.0788862,74.15127606
371,45227,388.0104937,155.2041975,100.8827284
372,44820,1.266592911,0.506637164,0.329314157
373,44418,560.8237858,224.3295143,145.8141843
374,44422,467.1975608,186.8790243,121.4713658
375,43597,221.5743308,88.62973232,57.60932601
376,43598,5.507561758,2.203024703,1.431966057
377,43188,3428.005965,1371.202386,891.2815508
378,43189,742.5670825,297.026833,193.0674415
379,43198,295.2732274,118.1092909,76.77103911
380,43199,81.37487102,32.54994841,21.15746647
381,42769,1565.388174,626.1552697,407.0009253
382,42771,6744.236145,2697.694458,1753.501398
383,42355,1944.06255,777.62502,505.456263
384,41932,350.3791437,140.1516575,91.09857737
385,41933,31362.29054,12544.91622,8154.195542
386,41934,11952.18722,4780.874887,3107.568677
387,41936,263.3269774,105.330791,68.46501412
388,41515,4409.444732,1763.777893,1146.45563
389,41516,67064.88251,26825.95301,17436.86945
390,41517,22638.67044,9055.468175,5886.054314
391,41518,2443.721545,977.488618,635.3676017
392,41519,1277.163164,510.8652656,332.0624226
393,41521,4330.7739,1732.30956,1126.001214
394,41100,19546.00566,7818.402265,5081.961472
395,41101,66165.90215,26466.36086,17203.13456
396,41102,50014.94342,20005.97737,13003.88529
397,41103,3167.014303,1266.805721,823.4237188
398,40683,24396.48567,9758.594269,6343.086275
399,40684,65328.38212,26131.35285,16985.37935
400,40685,39470.15925,15788.0637,10262.2414
401,40686,934.1442965,373.6577186,242.8775171
402,40270,7756.051978,3102.420791,2016.573514
403,40271,158.9377275,63.57509102,41.32380916
404,40272,4950.365988,1980.146395,1287.095157
405,40273,12060.39565,4824.158261,3135.70287
406,40276,378.6948425,151.477937,98.46065906
407,40282,1277.949069,511.1796275,332.2667579
408,40283,509.6961221,203.8784488,132.5209917
409,39854,78.20766171,31.28306468,20.33399204
410,39855,3884.103688,1553.641475,1009.866959
411,39861,917.5447072,367.0178829,238.5616239
412,39864,8331.151385,3332.460554,2166.09936
413,39865,164.0542388,65.62169553,42.6541021
414,39873,516.9805519,206.7922207,134.4149435
415,39445,1271.919416,508.7677665,330.6990482
416,39446,1008.535042,403.414017,262.219111
417,39456,595.3360987,238.1344395,154.7873857
418,39457,335.7470049,134.2988019,87.29422127
419,39045,155.1425557,62.05702229,40.33706449
420,38636,847.1125899,338.845036,220.2492734
421,49598,43.84058433,17.53623373,11.39855193
422,49599,781.1505478,312.4602191,203.0991424
423,71904,5057.002968,2022.801187,1314.820772
424,72195,2806.742886,1122.697155,729.7531504
425,89631,1100.378661,440.1514644,286.0984519
426,100421,227.8269648,91.13078592,59.23501085
427,62263,939.5076702,375.8030681,244.2719942
428,65579,2648.025431,1059.210172,688.486612
429,65807,4126.160278,1650.464111,1072.801672
430,65808,99.94039052,39.97615621,25.98450154
431,3943,694.2409171,277.6963669,180.5026385
432,100880,435.4819829,174.1927932,113.2253156
433,100224,80.39858443,32.15943377,20.90363195
434,100301,126.8946427,50.75785709,32.99260711
435,97706,0.632469614,0.252987846,0.1644421
436,97707,456.8336671,182.7334669,118.7767535
437,98026,626.2949097,250.5179639,162.8366765
438,67667,405.2810834,162.1124334,105.3730817
439,50385,610.308275,244.12331,158.6801515
440,48849,752.8628962,301.1451585,195.744353
441,48044,22.99354858,9.197419434,5.978322632
442,48049,484.7091777,193.8836711,126.0243862
443,48054,7261.816008,2904.726403,1888.072162
444,47662,1450.888743,580.355497,377.2310731
445,47663,15073.00096,6029.200383,3918.980249
446,47265,179.6657013,71.86628053,46.71308234
447,44842,3775.789409,1510.315763,981.7052462
448,44432,790.9035654,316.3614262,205.634927
449,44022,316.793065,126.717226,82.36619691
450,42389,137.3901146,54.95604583,35.72142979
451,42390,68.67380791,27.46952316,17.85519006
452,41967,171.7793535,68.71174139,44.6626319
453,41968,743.384886,297.3539544,193.2800704
454,39879,864.8662208,345.9464883,224.8652174
455,51474,755.9600267,302.3840107,196.5496069
456,51475,33.46275667,13.38510267,8.700316734
457,48482,1979.212918,791.6851673,514.5953587
458,48483,9847.328525,3938.93141,2560.305417
459,48074,1.28631915,0.51452766,0.334442979
460,48075,5818.966791,2327.586716,1512.931366
461,47705,593.0347537,237.2139015,154.189036
462,46911,585.4554561,234.1821824,152.2184186
463,46912,13.27960653,5.311842611,3.452697697
464,43237,634.7181492,253.8872597,165.0267188
465,42398,875.6772398,350.2708959,227.6760823
